Met	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-9-1	WT-9-2	WT-9-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-9-1	3A-9-2	3A-9-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-9-1	3Amk-9-2	3Amk-9-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
GGPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamate	162644.3277	219377.0102	325057.5755	229560.1445	202420.7862	200230.3212	198521.4894	208688.0372	188364.3962	66108.02743	58113.40487	52994.27881	9408.126652	7950.120256	9275.61027	5876.142135	3266.367417	4366.621597	4333.965992	2434.741825	3196.158987	2540.724142	1516.854474	2210.349238	769.1692939	596.8191902	718.0002946	452366.4327	470398.528	20688.5926	251932.4283	367855.5729	293134.2223	257502.0454	328894.0492	252716.0757	149211.1249	136830.471	117090.3747	64875.05421	71528.96792	70856.03063	91490.32027	82169.9992	81020.6413	117959.2884	98160.96827	100946.5087	103153.4451	99523.54504	108287.9062	95482.11379	91763.05893	89327.38681	209640.6921	517424.2039	381108.7558	381216.1666	422499.2854	432459.3526	336746.4538	306121.7422	370221.3712	219180.8316	277317.7074	195319.0666	164358.0853	181392.5761	174589.4818	140907.9751	161368.9432	160081.125	81071.46741	91599.09708	88824.11668	38614.87958	44931.70452	39475.83989	27195.77342	22048.30787	20595.04201
Glutamine	47416.85756	49244.70938	62662.92524	19832.77793	22636.17849	33356.37726	11714.1518	11914.765	11508.80294	15787.42715	9240.9294	9876.02247	3307.700181	2832.158726	2831.81599	2233.782835	989.1031602	1422.9416	715.4963995	476.574993	541.7373129	0	0	0	0	0	0	122057.1285	117629.1795	42061.41603	50524.84403	56127.37773	68074.93751	29884.03168	27541.42672	22852.96262	3999.61824	3995.269991	3783.833402	7916.909418	8936.462891	7913.771455	12997.54313	14704.87221	13567.67594	11926.5753	12522.22004	9267.998093	9263.138046	9172.926228	9745.916498	7231.122458	7619.305131	8366.060024	95555.47286	141378.6689	92707.87901	71928.7387	75746.64153	63387.19626	58069.89857	52806.90163	47630.3469	25147.51456	26768.4222	27599.47445	7768.447597	7447.768869	8116.06399	6751.417788	7383.675683	6034.271289	8528.77669	7451.287768	8588.413936	9295.824748	7366.651904	9065.380215	8011.559418	6375.263387	8149.710147
Gly-3-P	6155.215648	0	0	0	0	0	0	0	0	565.3687073	1956.940275	2079.825532	1817.663728	1291.986088	1598.155482	2519.657594	2333.327981	1942.366376	1548.956174	1124.351898	1570.080454	0	0	0	0	0	0	0	0	3822.371212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	645.405214	907.6607156	719.717	0	1594.43168	1497.371164	1240.276066	2194.792102	1877.251626	2471.198904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1516.888401	1080.045778	0	0	2113.015584	0
Glycine	107143.9663	130911.8141	292500.9346	147141.8588	182307.6127	251923.5083	160559.098	189013.3736	132380.6941	42255.24445	47896.96651	39521.87707	8034.237199	7888.270851	8183.204082	8998.229603	7044.129806	7489.439787	4840.859304	5141.673779	6303.966218	4526.330106	4749.283197	4386.581613	3855.835451	3674.935607	3739.018441	345804.438	337872.2091	42182.73214	157274.7558	212097.8291	336499.0538	169377.9563	166027.7654	143533.2564	89589.42741	99519.5612	109376.7995	21343.50809	21480.65366	22886.26383	8498.197297	8884.837045	9347.825319	8549.493486	8758.599969	8247.008239	8411.491861	8421.000389	7583.542922	9341.641427	8783.174317	7275.365052	129251.1145	430262.6958	193224.5455	231418.7698	277722.4009	247854.8815	202726.7092	193253.8651	169002.1432	171809.2103	189316.9887	162788.8132	151674.9836	128135.0032	141099.007	103719.6125	78280.71414	118148.9761	56652.69351	63604.68514	42265.73677	10127.42025	10167.4432	8602.152778	8996.981862	7882.854965	8420.559652
GPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.21555579	51.32730408	39.83273999	67.30295439	66.59614189	65.19756989	69.2719909	47.0982835	49.50255068	57.38980772	68.68931011	50.93122851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.3563373	208.7336237	210.466042	309.1806928	301.99973	266.3676136
HDMAPP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Histidine	20223.06047	21714.34247	24279.00757	12859.84688	10650.7154	10658.98277	10881.66398	10073.46928	11672.27425	6654.7387	5461.971391	5943.611947	2422.749069	3019.083092	3280.107374	1834.528887	1717.417131	1970.673911	1422.22572	1062.849925	1197.283442	1200.413832	951.3695795	1065.659409	1047.372301	775.0855008	942.8439061	33233.64839	39355.56915	10372.36231	20204.29858	22174.38464	19414.11287	14430.46438	18762.7339	15822.50985	8744.409637	9238.679012	825.1581365	4805.145393	5555.50168	5288.595436	4350.206731	4417.91384	4505.80114	4721.687451	4545.947163	4729.519635	4460.792951	4269.364318	4675.496021	4149.552854	4589.453494	4005.360564	30260.13776	40325.69293	38300.8092	25889.19752	25876.42288	25659.15246	22340.67213	19455.06423	20926.35308	16936.22501	18849.4703	14708.33197	12933.58681	15388.18074	14349.52451	10661.29059	10962.22467	10893.95015	5850.093996	6470.122387	6425.210535	3462.934733	3542.322325	3329.064408	2799.407395	1965.620878	2277.452994
HMG CoA	256.1070933	205.5539934	265.4345473	141.1887928	124.8351502	109.702538	107.8068948	113.8748986	101.3658566	46.77661207	93.77799871	104.0377405	43.14645545	67.93250088	48.01797591	0	0	0	0	0	0	0	0	0	0	0	0	533.0530552	477.4903859	470.7849471	0	0	0	273.7051936	276.3222086	164.3465401	116.799358	136.9626081	201.794311	152.8605597	183.936303	99.04512713	190.2731886	118.312875	128.1300483	170.0320026	166.8271997	115.7340708	116.7946107	146.0636647	124.079201	92.56888491	108.5722813	91.37681121	350.3720224	478.4685279	497.7180813	217.7669035	320.9345724	369.6384102	281.6842102	206.5777585	180.9194695	281.7629125	164.1280502	210.3568183	169.9523552	241.6975462	194.882855	125.119561	118.4020289	202.5379586	134.016701	178.6200792	233.5674637	111.090612	141.4834981	74.78235008	72.33953351	114.0611519	104.6852968
IP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.36700343	44.89501079	48.0266213	0	0	0	0	0	0	0	0	0	2490.454203	2293.257569	1347.392552	10174.50312	13524.4333	4739.963887	13785.29708	24727.56685	20487.28557	8209.900625	6007.909983	5714.640208	2891.455223	4698.888391	3200.04574	4388.909113	5156.663497	4352.524144	5269.304734	4207.340009	3842.533508	2681.099101	3596.539608	5335.225816	1930.080015	2762.562865	2137.69584	2121.75634	1874.448381	3315.136929	10307.07724	13582.25361	14334.82802	19683.30821	17139.68346	28494.50195	23561.33005	28109.57474	20311.74484	17697.26775	26332.44241	23488.86031	10747.67307	17736.42635	10569.18058	6170.484894	6193.231094	7213.676489	6736.231582	5220.893856	5254.523095	2842.558002	2225.83982	2425.560001
