Ext	WT-0-1	WT-0-2	WT-0-3	WT-0.5-1	WT-0.5-2	WT-0.5-3	WT-1-1	WT-1-2	WT-1-3	WT-3-1	WT-3-2	WT-3-3	WT-6-1	WT-6-2	WT-6-3	WT-9-1	WT-9-2	WT-9-3	WT-12-1	WT-12-2	WT-12-3	WT-15-1	WT-15-2	WT-15-3	WT-18-1	WT-18-2	WT-18-3	3A-0-1	3A-0-2	3A-0-3	3A-0.5-1	3A-0.5-2	3A-0.5-3	3A-1-1	3A-1-2	3A-1-3	3A-3-1	3A-3-2	3A-3-3	3A-6-1	3A-6-2	3A-6-3	3A-9-1	3A-9-2	3A-9-3	3A-12-1	3A-12-2	3A-12-3	3A-15-1	3A-15-2	3A-15-3	3A-18-1	3A-18-2	3A-18-3	3Amk-0-1	3Amk-0-2	3Amk-0-3	3Amk-0.5-1	3Amk-0.5-2	3Amk-0.5-3	3Amk-1-1	3Amk-1-2	3Amk-1-3	3Amk-3-1	3Amk-3-2	3Amk-3-3	3Amk-6-1	3Amk-6-2	3Amk-6-3	3Amk-9-1	3Amk-9-2	3Amk-9-3	3Amk-12-1	3Amk-12-2	3Amk-12-3	3Amk-15-1	3Amk-15-2	3Amk-15-3	3Amk-18-1	3Amk-18-2	3Amk-18-3
Citrate_Ext	8.556162632	8.707997057	9.677229245	12.41574425	11.67149254	13.11816242	20.34358979	20.26440042	20.82376733	37.13096934	38.0742591	36.55043516	79.67632798	78.97043411	81.36571689	91.58069175	90.68660962	89.18659885	94.43132124	92.3315504	93.01003016	107.861967	103.1709909	104.5707233	64.59955157	84.37815384	109.6380603	9.58607849	10.39173406	10.00353705	12.49271043	12.65497192	11.82404715	14.82042078	15.38390529	15.48302509	21.17393528	22.69393909	22.43396687	39.4710638	39.30297817	37.52632126	62.39812462	63.75807448	61.17919072	74.16355473	75.30311139	79.288585	80.38976817	83.52966275	86.16551964	100.0836544	90.32278941	99.95218878	10.14661962	10.02818001	9.775926318	11.9298052	12.0079456	11.33536826	13.67076583	13.7048182	13.26202781	17.1840466	17.09740485	16.79804147	21.27995948	19.83720366	19.33271194	25.49789727	25.30690653	25.95562373	36.26174935	38.05821143	32.66616362	45.44348923	45.18952901	41.91176539	69.78429482	67.30655052	66.59046442
Cysteine_Ext	3.685619674	0	2.995221789	4.990506106	4.80130659	4.54677258	1.513678098	3.673815198	4.683425783	3.277791429	2.720603775	3.065146913	0	0	0.852217574	3.360914613	3.218523124	3.39395075	3.614382941	3.352225207	3.210571498	3.862440885	3.337387637	3.56823072	3.659059603	2.249326473	4.138616434	2.863569094	2.114066854	3.107856163	3.511995509	3.114004327	3.16892793	3.826699555	3.382392201	3.466499091	3.183027721	3.365341292	3.537243971	3.98622393	3.585937434	3.98786344	1.070108524	0.909190565	1.18011968	0	0	0	0	0	0	0	0	0	2.529928701	3.432233321	3.485189511	2.871930597	3.212702861	2.616003003	3.800549362	3.115807789	3.507896732	2.759706101	2.809301295	2.481727091	2.185959391	2.738720367	2.039797027	2.180958884	2.128740474	2.239817312	2.69650297	2.57960587	2.708389422	1.686400532	1.547042137	1.386698007	0	0	0
DXP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FPP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fru-1,6-biP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G6P_Ext	0.381517175	0	0.302425761	0.373390054	0.535421155	0.6278066	0.472906914	0.512223877	0.676838433	1.167533514	1.362396028	1.474830165	4.085681069	4.36865018	4.257453949	8.369104128	10.04458267	9.402082668	9.367690416	9.266558897	9.112143609	8.74297858	7.844258995	7.487553757	3.724051119	4.703422957	4.935960864	0.379122096	0.342119478	0.474844505	0.317253719	0.499279689	0.346963457	0.576864087	0.566503354	0.531169217	0.53881194	0.74952503	0.593764192	1.102381995	1.139196236	1.137904509	0.398928589	0	0.67783414	0.314481886	0.565642202	0.426458536	0	0.387383772	0.352937698	0.395672358	0.429445657	0	0	0.297554871	0	0.422529531	0.296612986	0.456894872	0.693065763	0.607488799	0.643441888	1.017773827	0.904909115	0.890215712	1.379269222	1.50741938	1.42087362	1.584304092	1.582689432	1.662372888	1.497623778	1.508092155	1.591247129	1.644234878	1.536267966	1.674213726	0.864085135	0.854558643	0.763411104
GGPP_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamate_Ext	142.7194707	34.75520276	143.5052523	102.5004539	102.5111901	104.5531918	32.71769528	84.35141608	82.64205339	22.18730478	26.64684633	25.18407458	136.9657807	140.8979799	127.6239476	13.05179636	6.313921681	11.19203681	3.492334944	2.511509539	3.272028285	2.023162354	1.915505803	2.216117939	1.784720003	1.601865021	1.863754393	170.599022	161.8563476	162.5243948	134.8903903	131.8981374	128.3655816	111.6560274	104.2790909	102.1280708	18.5915805	18.64587409	17.32821056	7.222567488	7.398136416	7.694027371	1.763769761	1.693701076	1.518381826	1.246187568	1.051484238	0.899316934	0	0	0	0	0	0	173.8492375	168.898625	170.1024581	146.4766684	146.8614447	150.0294481	133.8406765	139.6046713	131.2683817	132.5412621	130.1025677	129.6822918	104.3312508	94.05226325	94.40957496	72.0653136	69.21753339	68.12764416	26.51512992	24.47306014	27.20476285	2.727435488	2.920958523	2.901211275	1.434467369	1.316278951	1.430608711
Gly-3-P_Ext	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycine_Ext	587.0140268	151.6620635	575.4857039	561.5946947	562.4969331	581.5307852	236.2259032	567.2312415	580.049394	277.6864259	271.5687411	270.7687061	0	10.7168389	8.646800679	0	0	0	0	0	0	8.172364562	8.046425369	0	0	0	10.9064458	583.2838811	583.5491632	589.8511492	561.0998738	554.8922723	561.6650643	586.2240446	551.0445647	559.3090799	530.3740616	524.1206641	526.2945812	88.40903413	85.64591148	90.31431819	6.231337224	11.30325199	8.61524607	0	0	7.494917818	7.176300037	7.812139376	0	5.459226652	0	0	601.0926882	601.2351028	610.5152296	582.1571302	567.1142381	589.6433914	548.3035023	572.318794	548.0932314	628.5544134	631.1787516	630.3854184	623.1462884	613.930667	602.3314161	500.8543058	501.2039197	493.2284224	231.2587051	225.0731639	230.7574615	0	0	0	0	8.687849595	12.02454009
