Gene	ECKnum
ybjM	ECK0839
ybjN	ECK0844
ybjO	ECK0849
ybjP	ECK0856
ybjQ	ECK0857
ybjS	ECK0859
ybjT	ECK0860
ybjX	ECK0868
ycaC	ECK0888
ycaD	ECK0889
ycaI	ECK0904
ycaJ	ECK0883
ycaK	ECK0892
ycaL	ECK0900
ycaM	ECK0890
ycaN	ECK0891
ycaO	ECK0896
ycaP	ECK0897
ycaQ	ECK0907
ycaR	ECK0908
ycbB	ECK0916
ycbC	ECK0911
ycbF	ECK0935
ycbG	ECK0947
ycbJ	ECK0910
ycbK	ECK0917
ycbL	ECK0918
ycbQ	ECK0929
ycbR	ECK0930
ycbS	ECK0931
ycbT	ECK0932
ycbU	ECK0933
ycbV	ECK0934
ycbW	ECK0937
ycbX	ECK0938
ycbZ	ECK0946
yccA	ECK0961
yccE	ECK0992
yccF	ECK0952
yccJ	ECK0994
yccK	ECK0960
yccM	ECK0983
yccS	ECK0951
yccU	ECK0956
yccW	ECK0958
yccX	ECK0959
yccZ	ECK0974
ycdC	ECK1004
ycdN	ECK1007
ycdQ	ECK1012
yceA	ECK1040
yceB	ECK1048
yceD	ECK1074
yceF	ECK1072
yceG	ECK1083
yceH	ECK1052
yceI	ECK1041
yceJ	ECK1042
yceK	ECK1036
yceM	ECK1053
yceO	ECK1043
yceP	ECK1045
yceQ	ECK1070
ycfD	ECK1114
ycfH	ECK1086
ycfJ	ECK1096
ycfL	ECK1090
ycfM	ECK1091
ycfP	ECK1094
ycfQ	ECK1097
ycfS	ECK1099
ycfT	ECK1101
ycfX	ECK1105
ycfZ	ECK1107
ycgB	ECK1176
ycgE	ECK1149
ycgF	ECK1150
ycgG	ECK1155
ycgH	ECK1157
ycgJ	ECK1165
ycgK	ECK1166
ycgL	ECK1167
ycgM	ECK1168
ycgN	ECK1169
ycgR	ECK1182
ycgV	ECK1190
ycgX	ECK1148
ycgY	ECK1184
ycgZ	ECK1151
ychA	ECK1202
ychE	ECK1236
ychF	ECK1191
ychG	ECK1234
ychH	ECK1193
ychJ	ECK1228
ychM	ECK1194
ychN	ECK1213
ychO	ECK1214
ychQ	ECK1201
ychS	ECK1222
yciA	ECK1247
yciB	ECK1248
yciC	ECK1249
yciE	ECK1251
yciF	ECK1252
yciG	ECK1253
yciH	ECK1277
yciI	ECK1245
yciK	ECK1265
yciM	ECK1275
yciN	ECK1267
yciO	ECK1261
yciQ	ECK1262
yciS	ECK1274
yciT	ECK1279
yciU	ECK1242
yciW	ECK1282
yciX	ECK1270
ycjD	ECK1284
ycjF	ECK1318
ycjG	ECK1321
ycjM	ECK1304
ycjN	ECK1305
ycjO	ECK1306
ycjP	ECK1307
ycjQ	ECK1308
ycjR	ECK1309
ycjS	ECK1310
ycjT	ECK1311
ycjU	ECK1312
ycjV	ECK1313
ycjW	ECK1316
ycjX	ECK1317
ycjY	ECK1324
ycjZ	ECK1325
ydaC	ECK1344
ydaE	ECK1349
ydaG	ECK1353
ydaL	ECK1337
ydaM	ECK1338
ydaN	ECK1339
ydaQ	ECK1343
ydaS	ECK1355
ydaT	ECK1356
ydaU	ECK1357
ydaV	ECK1358
ydaW	ECK1359
ydaY	ECK1364
ydbA	ECK1398
ydbC	ECK1399
ydbD	ECK1400
ydbH	ECK1378
ydbJ	ECK1375
ydbK	ECK1374
ydbL	ECK1380
ydcA	ECK1411
ydcC	ECK1454
ydcD	ECK1451
ydcF	ECK1407
ydcH	ECK1419
ydcI	ECK1416
ydcJ	ECK1417
ydcK	ECK1421
ydcL	ECK1424
ydcN	ECK1428
ydcO	ECK1427
ydcP	ECK1429
ydcQ	ECK1432
ydcR	ECK1433
ydcS	ECK1434
ydcT	ECK1435
ydcU	ECK1436
ydcV	ECK1437
ydcW	ECK1438
ydcX	ECK1439
ydcY	ECK1440
ydcZ	ECK1441
yddA	ECK1490
yddB	ECK1489
yddE	ECK1458
yddG	ECK1467
yddH	ECK1456
yddJ	ECK1464
yddK	ECK1465
yddL	ECK1466
yddM	ECK1471
yddV	ECK1484
yddW	ECK1485
ydeA	ECK1521
ydeE	ECK1527
ydeH	ECK1528
ydeI	ECK1529
ydeJ	ECK1530
ydeK	ECK1503
ydeM	ECK1491
ydeN	ECK1492
ydeO	ECK1493
ydeP	ECK1494
ydeQ	ECK1495
ydeR	ECK1496
ydeS	ECK1497
ydeT	ECK1498
ydeU	ECK1502
ydfA	ECK1565
ydfB	ECK1566
ydfC	ECK1567
ydfD	ECK1570
ydfE	ECK1571
ydfG	ECK1532
ydfH	ECK1533
ydfI	ECK1535
ydfJ	ECK1536
ydfK	ECK1537
ydfN	ECK1540
ydfO	ECK1543
ydfP	ECK1547
ydfQ	ECK1548
ydfR	ECK1549
ydfU	ECK1554
ydfV	ECK1559
ydfW	ECK1561
ydfX	ECK1562
ydfZ	ECK1534
ydgA	ECK1609
ydgC	ECK1602
ydgD	ECK1593
ydgH	ECK1599
ydgI	ECK1600
ydgJ	ECK1619
ydgK	ECK1622
ydgR	ECK1630
ydhA	ECK1635
ydhB	ECK1655
ydhC	ECK1656
ydhF	ECK1643
ydhI	ECK1639
ydhJ	ECK1640
ydhK	ECK1641
ydhL	ECK1644
ydhM	ECK1645
ydhO	ECK1651
ydhP	ECK1653
ydhQ	ECK1660
ydhR	ECK1663
ydhS	ECK1664
ydhT	ECK1665
ydhU	ECK1666
ydhV	ECK1669
ydhW	ECK1668
ydhX	ECK1667
ydhY	ECK1670
ydhZ	ECK1671
ydiA	ECK1701
ydiB	ECK1690
ydiD	ECK1699
ydiE	ECK1703
ydiF	ECK1692
ydiH	ECK1682
ydiI	ECK1683
ydiJ	ECK1684
ydiK	ECK1685
ydiL	ECK1687
ydiM	ECK1688
ydiN	ECK1689
ydiO	ECK1693
ydiP	ECK1694
ydiQ	ECK1695
ydiR	ECK1696
ydiS	ECK1697
ydiT	ECK1698
ydiU	ECK1704
ydiV	ECK1705
ydiY	ECK1720
ydiZ	ECK1722
ydjA	ECK1763
ydjE	ECK1767
ydjF	ECK1768
ydjG	ECK1769
ydjH	ECK1770
ydjI	ECK1771
ydjJ	ECK1772
ydjK	ECK1773
ydjL	ECK1774
ydjM	ECK1726
ydjN	ECK1727
ydjO	ECK1728
ydjR	ECK1740
ydjX	ECK1748
ydjY	ECK1749
ydjZ	ECK1750
yeaA	ECK1776
yeaC	ECK1775
yeaD	ECK1778
yeaE	ECK1779
yeaG	ECK1781
yeaH	ECK1782
yeaI	ECK1783
yeaJ	ECK1784
yeaK	ECK1785
yeaL	ECK1787
yeaM	ECK1788
yeaN	ECK1789
yeaO	ECK1790
yeaP	ECK1792
yeaQ	ECK1793
yeaR	ECK1795
yeaT	ECK1797
yeaU	ECK1798
yeaV	ECK1799
yeaW	ECK1800
yeaX	ECK1801
yeaY	ECK1804
yeaZ	ECK1805
yebA	ECK1857
yebB	ECK1863
yebC	ECK1865
yebE	ECK1847
yebF	ECK1848
yebG	ECK1849
yebK	ECK1854
yebN	ECK1819
yebO	ECK1823
yebQ	ECK1827
yebR	ECK1831
yebS	ECK1832
yebT	ECK1833
yebU	ECK1834
yebV	ECK1835
yebW	ECK1836
yebY	ECK1840
yebZ	ECK1841
yecA	ECK1907
yecC	ECK1916
yecD	ECK1868
yecE	ECK1869
yecF	ECK1914
yecH	ECK1905
yecJ	ECK1901
yecM	ECK1876
yecN	ECK1870
yecP	ECK1872
yecR	ECK1903
yecS	ECK1917
yecT	ECK1878
yedA	ECK1957
yedD	ECK1927
yedE	ECK1928
yedF	ECK1929
yedI	ECK1956
yedJ	ECK1960
yedK	ECK1930
yedL	ECK1931
yedM	ECK1933
yedN	ECK1932
yedO	ECK1918
yedP	ECK1953
yedQ	ECK1954
yedR	ECK1961
yedS	ECK1962
yedV	ECK1964
yedW	ECK1965
yedX	ECK1966
yedY	ECK1967
yedZ	ECK1968
yeeA	ECK2002
yeeD	ECK2006
yeeE	ECK2007
yeeF	ECK2008
yeeJ	ECK1974
yeeL	ECK1975
yeeN	ECK1978
yeeO	ECK1980
yeeP	ECK1991
yeeR	ECK1994
yeeS	ECK1995
yeeT	ECK1996
yeeU	ECK1997
yeeV	ECK1998
yeeW	ECK1999
yeeX	ECK2001
yeeY	ECK2009
yeeZ	ECK2010
yefM	ECK2012
yegD	ECK2063
yegE	ECK2061
yegH	ECK2057
yegI	ECK2064
yegJ	ECK2065
yegK	ECK2066
yegL	ECK2067
yegP	ECK2076
yegQ	ECK2077
yegR	ECK2081
yegS	ECK2082
yegT	ECK2091
yegU	ECK2092
yegV	ECK2093
yegW	ECK2094
yegX	ECK2095
yehA	ECK2101
yehB	ECK2102
yehC	ECK2103
yehD	ECK2104
yehE	ECK2105
yehI	ECK2109
yehK	ECK2110
yehL	ECK2111
yehM	ECK2112
yehP	ECK2113
yehQ	ECK2114
yehR	ECK2115
yehS	ECK2116
yehT	ECK2117
yehU	ECK2118
yehW	ECK2121
yehX	ECK2122
yehY	ECK2123
yeiA	ECK2140
yeiB	ECK2145
yeiC	ECK2159
yeiE	ECK2150
yeiG	ECK2147
yeiH	ECK2151
yeiI	ECK2153
yeiL	ECK2156
yeiM	ECK2157
yeiN	ECK2158
yeiP	ECK2165
yeiQ	ECK2166
yeiR	ECK2167
yeiS	ECK2138
yeiT	ECK2139
yeiU	ECK2168
yeiW	ECK2164
yejA	ECK2171
yejB	ECK2172
yejE	ECK2173
yejF	ECK2174
yejG	ECK2175
yejH	ECK2178
yejK	ECK2180
yejL	ECK2181
yejM	ECK2182
yejO	ECK2184
yfaA	ECK2222
yfaD	ECK2236
yfaE	ECK2228
yfaH	ECK2230
yfaL	ECK2225
yfaP	ECK2218
yfaQ	ECK2219
yfaS	ECK2220
yfaT	ECK2221
yfaU	ECK2238
yfaV	ECK2239
yfaW	ECK2240
yfaX	ECK2241
yfaY	ECK2242
yfaZ	ECK2243
yfbB	ECK2257
yfbE	ECK2246
yfbK	ECK2264
yfbL	ECK2265
yfbM	ECK2266
yfbN	ECK2267
yfbO	ECK2268
yfbP	ECK2269
yfbQ	ECK2284
yfbR	ECK2285
yfbS	ECK2286
yfbT	ECK2287
yfbU	ECK2288
yfbV	ECK2289
yfbW	ECK2251
yfcA	ECK2321
yfcC	ECK2292
yfcD	ECK2293
yfcE	ECK2294
yfcF	ECK2295
yfcG	ECK2296
yfcH	ECK2298
yfcI	ECK2299
yfcJ	ECK2316
yfcL	ECK2319
yfcM	ECK2320
yfcN	ECK2325
yfcO	ECK2326
yfcP	ECK2327
yfcQ	ECK2328
yfcR	ECK2329
yfcS	ECK2330
yfcT	ECK2331
yfcU	ECK2332
yfcV	ECK2333
yfcZ	ECK2337
yfdC	ECK2341
yfdE	ECK2367
yfdF	ECK2339
yfdG	ECK2344
yfdH	ECK2345
yfdI	ECK2346
yfdK	ECK2348
yfdL	ECK2349
yfdN	ECK2351
yfdO	ECK2352
yfdP	ECK2353
yfdQ	ECK2354
yfdR	ECK2355
yfdS	ECK2356
yfdT	ECK2357
yfdV	ECK2368
yfdX	ECK2371
yfdY	ECK2373
yfdZ	ECK2375
yfeA	ECK2389
yfeC	ECK2392
yfeD	ECK2393
yfeH	ECK2404
yfeK	ECK2414
yfeN	ECK2402
yfeO	ECK2385
yfeR	ECK2403
yfeS	ECK2415
yfeT	ECK2422
yfeW	ECK2425
yfeX	ECK2426
yfeY	ECK2427
yfeZ	ECK2428
yffB	ECK2466
yfgA	ECK2512
yfgC	ECK2490
yfgD	ECK2491
yfgF	ECK2499
yfgG	ECK2500
yfgH	ECK2501
yfgI	ECK2502
yfgJ	ECK2506
yfgM	ECK2509
yfgO	ECK2489
yfhA	ECK2551
yfhB	ECK2558
yfhD	ECK2556
yfhG	ECK2552
yfhH	ECK2559
yfhK	ECK2553
yfhL	ECK2560
yfhM	ECK2516
yfhQ	ECK2529
yfhR	ECK2531
yfiB	ECK2602
yfiC	ECK2573
yfiD	ECK2577
yfiE	ECK2575
yfiF	ECK2579
yfiH	ECK2591
yfiL	ECK2599
yfiM	ECK2584
yfiN	ECK2601
yfiO	ECK2593
yfiP	ECK2581
yfiQ	ECK2582
yfiR	ECK2600
yfjD	ECK2609
yfjF	ECK2614
yfjG	ECK2615
yfjH	ECK2619
yfjI	ECK2621
yfjJ	ECK2622
yfjK	ECK2623
yfjL	ECK2624
yfjM	ECK2625
yfjO	ECK2627
yfjP	ECK2628
yfjQ	ECK2629
yfjR	ECK2630
yfjS	ECK2632
yfjT	ECK2633
yfjU	ECK2634
yfjV	ECK2636
yfjW	ECK2638
yfjX	ECK2639
yfjY	ECK2640
yfjZ	ECK2642
ygaC	ECK2665
ygaD	ECK2695
ygaF	ECK2654
ygaH	ECK2677
ygaM	ECK2666
ygaP	ECK2662
ygaQ	ECK2649
ygaR	ECK2650
ygaU	ECK2659
ygaV	ECK2661
ygaW	ECK2664
ygaX	ECK2674
ygaY	ECK2675
ygaZ	ECK2676
ygbA	ECK2727
ygbE	ECK2744
ygbF	ECK2749
ygbI	ECK2730
ygbJ	ECK2731
ygbK	ECK2732
ygbL	ECK2733
ygbM	ECK2734
ygbN	ECK2735
ygbT	ECK2750
ygcB	ECK2756
ygcE	ECK2770
ygcF	ECK2771
ygcG	ECK2772
ygcH	ECK2751
ygcI	ECK2752
ygcJ	ECK2753
ygcK	ECK2754
ygcL	ECK2755
ygcM	ECK2760
ygcN	ECK2761
ygcO	ECK2762
ygcP	ECK2763
ygcQ	ECK2764
ygcR	ECK2765
ygcS	ECK2766
ygcU	ECK2767
ygcW	ECK2768
ygdB	ECK2820
ygdD	ECK2802
ygdE	ECK2801
ygdH	ECK2790
ygdI	ECK2805
ygdL	ECK2808
ygdQ	ECK2828
ygdR	ECK2829
ygeA	ECK2838
ygeF	ECK2848
ygeG	ECK2849
ygeH	ECK2850
ygeI	ECK2851
ygeK	ECK2853
ygeL	ECK2854
ygeM	ECK2855
ygeN	ECK2856
ygeO	ECK2857
ygeP	ECK2858
ygeQ	ECK2859
ygeR	ECK2861
ygeV	ECK2865
ygeW	ECK2866
ygeX	ECK2867
ygeY	ECK2868
ygfA	ECK2907
ygfB	ECK2904
ygfF	ECK2897
ygfI	ECK2917
ygfJ	ECK2873
ygfK	ECK2874
ygfM	ECK2876
ygfO	ECK2878
ygfQ	ECK2880
ygfS	ECK2881
ygfT	ECK2882
ygfU	ECK2883
ygfX	ECK2891
ygfY	ECK2892
ygfZ	ECK2893
yggD	ECK2925
yggE	ECK2918
yggF	ECK2926
yggG	ECK2931
yggH	ECK2955
yggL	ECK2954
yggM	ECK2951
yggN	ECK2953
yggP	ECK2927
yggR	ECK2945
yggS	ECK2946
yggT	ECK2947
yggU	ECK2948
yggW	ECK2950
yggX	ECK2957
yghA	ECK2997
yghB	ECK3001
yghD	ECK2963
yghE	ECK2964
yghF	ECK2965
yghG	ECK2966
yghJ	ECK2968
yghO	ECK2976
yghQ	ECK2977
yghR	ECK2978
yghS	ECK2979
yghT	ECK2980
yghU	ECK2983
yghW	ECK2992
yghX	ECK2993
yghY	ECK2994
yghZ	ECK2995
ygiA	ECK3027
ygiB	ECK3028
ygiC	ECK3029
ygiD	ECK3030
ygiE	ECK3031
ygiF	ECK3044
ygiH	ECK3049
ygiL	ECK3034
ygiN	ECK3020
ygiQ	ECK3007
ygiS	ECK3011
ygiT	ECK3012
ygiU	ECK3013
ygiV	ECK3014
ygiW	ECK3015
ygiZ	ECK3018
ygjD	ECK3054
ygjF	ECK3058
ygjG	ECK3063
ygjH	ECK3064
ygjI	ECK3068
ygjJ	ECK3069
ygjK	ECK3070
ygjM	ECK3072
ygjN	ECK3073
ygjP	ECK3075
ygjQ	ECK3076
ygjR	ECK3077
ygjV	ECK3081
yhaB	ECK3109
yhaC	ECK3110
yhaH	ECK3094
yhaI	ECK3095
yhaJ	ECK3096
yhaK	ECK3097
yhaL	ECK3098
yhaM	ECK3099
yhaO	ECK3100
yhaV	ECK3118
yhbC	ECK3159
yhbE	ECK3173
yhbJ	ECK3194
yhbO	ECK3141
yhbP	ECK3142
yhbQ	ECK3143
yhbS	ECK3144
yhbT	ECK3145
yhbU	ECK3146
yhbV	ECK3147
yhbW	ECK3148
yhbX	ECK3162
yhbY	ECK3169
yhcA	ECK3205
yhcB	ECK3222
yhcC	ECK3201
yhcD	ECK3206
yhcF	ECK3208
yhcG	ECK3209
yhcH	ECK3210
yhcM	ECK3221
yhcN	ECK3227
yhcO	ECK3228
yhdE	ECK3236
yhdH	ECK3241
yhdJ	ECK3249
yhdL	ECK3278
yhdN	ECK3280
yhdP	ECK3234
yhdT	ECK3244
yhdU	ECK3250
yhdV	ECK3254
yhdW	ECK3255
yhdX	ECK3256
yhdY	ECK3257
yhdZ	ECK3258
yheL	ECK3330
yheM	ECK3331
yheN	ECK3332
yheO	ECK3333
yheS	ECK3340
yheT	ECK3341
yheU	ECK3342
yheV	ECK3337
yhfA	ECK3344
yhfG	ECK3350
yhfK	ECK3346
yhfL	ECK3357
yhfS	ECK3363
yhfT	ECK3364
yhfU	ECK3365
yhfW	ECK3367
yhfX	ECK3368
yhfY	ECK3369
yhfZ	ECK3370
yhgA	ECK3398
yhgE	ECK3389
yhgF	ECK3394
yhgN	ECK3420
yhhA	ECK3432
yhhH	ECK3467
yhhI	ECK3469
yhhJ	ECK3470
yhhK	ECK3443
yhhL	ECK3450
yhhM	ECK3451
yhhN	ECK3452
yhhP	ECK3454
yhhQ	ECK3455
yhhS	ECK3457
yhhT	ECK3458
yhhW	ECK3424
yhhX	ECK3425
yhhY	ECK3427
yhhZ	ECK3428
yhiD	ECK3492
yhiI	ECK3472
yhiJ	ECK3473
yhiK	ECK3474
yhiL	ECK3475
yhiM	ECK3476
yhiN	ECK3477
yhiP	ECK3481
yhiQ	ECK3482
yhiR	ECK3484
yhiS	ECK3489
yhjA	ECK3503
yhjB	ECK3505
yhjC	ECK3506
yhjD	ECK3507
yhjE	ECK3508
yhjG	ECK3509
yhjH	ECK3510
yhjJ	ECK3512
yhjK	ECK3514
yhjQ	ECK3519
yhjR	ECK3520
yhjV	ECK3526
yhjX	ECK3534
yhjY	ECK3535
yiaA	ECK3551
yiaB	ECK3552
yiaC	ECK3537
yiaD	ECK3539
yiaF	ECK3541
yiaG	ECK3542
yiaJ	ECK3563
yiaK	ECK3564
yiaL	ECK3565
yiaM	ECK3566
yiaN	ECK3567
yiaO	ECK3568
yiaT	ECK3573
yiaU	ECK3574
yiaV	ECK3575
yiaW	ECK3576
yiaY	ECK3578
yibA	ECK3583
yibD	ECK3605
yibF	ECK3581
yibG	ECK3585
yibH	ECK3586
yibI	ECK3587
yibJ	ECK3584
yibK	ECK3596
yibL	ECK3592
yibN	ECK3601
yibQ	ECK3604
yibT	ECK3591
yicC	ECK3634
yicE	ECK3644
yicG	ECK3636
yicH	ECK3645
yicI	ECK3646
yicJ	ECK3647
yicL	ECK3650
yicM	ECK3653
yicN	ECK3654
yicO	ECK3655
yicS	ECK3652
yidA	ECK3689
yidB	ECK3690
yidC	ECK3698
yidD	ECK3697
yidE	ECK3677
yidF	ECK3665
yidG	ECK3666
yidH	ECK3667
yidI	ECK3668
yidJ	ECK3669
yidK	ECK3670
yidL	ECK3671
yidP	ECK3676
yidQ	ECK3680
yidR	ECK3681
yidX	ECK3688
yidZ	ECK3704
yieE	ECK3705
yieF	ECK3706
yieG	ECK3707
yieH	ECK3708
yieK	ECK3711
yieL	ECK3712
yieN	ECK3740
yieP	ECK3749
yifB	ECK3758
yifE	ECK3757
yifK	ECK3788
yifL	ECK3803
yifN	ECK3769
yifO	ECK3768
yigA	ECK3805
yigB	ECK3807
yigE	ECK3809
yigF	ECK3811
yigG	ECK3812
yigI	ECK3814
yigL	ECK3820
yigM	ECK3821
yigP	ECK3828
yigZ	ECK3840
yihA	ECK3857
yihD	ECK3850
yihF	ECK3853
yihG	ECK3854
yihI	ECK3859
yihL	ECK3865
yihM	ECK3866
yihN	ECK3867
yihO	ECK3869
yihP	ECK3870
yihQ	ECK3871
yihR	ECK3872
yihS	ECK3873
yihT	ECK3874
yihU	ECK3875
yihV	ECK3876
yihW	ECK3877
yihX	ECK3878
yihY	ECK3879
yiiD	ECK3881
yiiE	ECK3882
yiiF	ECK3883
yiiG	ECK3889
yiiM	ECK3903
yiiQ	ECK3912
yiiR	ECK3913
yiiS	ECK3914
yiiU	ECK3920
yiiX	ECK3929
yijC	ECK3955
yijD	ECK3956
yijE	ECK3935
yijF	ECK3936
yijO	ECK3945
yijP	ECK3946
yjaA	ECK4003
yjaB	ECK4004
yjaG	ECK3991
yjaH	ECK3993
yjaZ	ECK3980
yjbB	ECK4012
yjbE	ECK4018
yjbF	ECK4019
yjbG	ECK4020
yjbH	ECK4021
yjbI	ECK4030
yjbJ	ECK4037
yjbL	ECK4039
yjbM	ECK4040
yjbN	ECK4041
yjbO	ECK4042
yjbQ	ECK4048
yjbR	ECK4049
yjcB	ECK4052
yjcC	ECK4053
yjcD	ECK4057
yjcE	ECK4058
yjcF	ECK4059
yjcH	ECK4061
yjcO	ECK4071
yjcS	ECK4076
yjcZ	ECK4103
yjdA	ECK4102
yjdB	ECK4107
yjdC	ECK4129
yjdF	ECK4114
yjdI	ECK4119
yjdJ	ECK4120
yjdK	ECK4121
yjdL	ECK4124
yjdN	ECK4100
yjdO	ECK4122
yjdP	ECK4084
yjeE	ECK4164
yjeF	ECK4163
yjeH	ECK4135
yjeI	ECK4138
yjeJ	ECK4139
yjeK	ECK4140
yjeM	ECK4152
yjeN	ECK4153
yjeO	ECK4154
yjeP	ECK4155
yjeS	ECK4162
yjeT	ECK4172
yjfC	ECK4182
yjfF	ECK4226
yjfI	ECK4177
yjfJ	ECK4178
yjfK	ECK4179
yjfL	ECK4180
yjfM	ECK4181
yjfN	ECK4184
yjfO	ECK4185
yjfP	ECK4186
yjfY	ECK4195
yjfZ	ECK4200
yjgA	ECK4229
yjgB	ECK4262
yjgF	ECK4238
yjgH	ECK4242
yjgI	ECK4243
yjgJ	ECK4244
yjgK	ECK4245
yjgL	ECK4246
yjgM	ECK4249
yjgN	ECK4250
yjgP	ECK4254
yjgQ	ECK4255
yjgR	ECK4256
yjgW	ECK4265
yjgX	ECK4266
yjgZ	ECK4267
yjhB	ECK4269
yjhC	ECK4270
yjhD	ECK4271
yjhE	ECK4272
yjhF	ECK4285
yjhG	ECK4286
yjhH	ECK4287
yjhI	ECK4288
yjhP	ECK4296
yjhQ	ECK4297
yjhR	ECK4299
yjhS	ECK4300
yjhT	ECK4301
yjhU	ECK4284
yjhV	ECK4276
yjhW	ECK4275
yjhX	ECK4298
yjiA	ECK4342
yjiC	ECK4316
yjiD	ECK4317
yjiE	ECK4318
yjiG	ECK4320
yjiH	ECK4321
yjiJ	ECK4323
yjiK	ECK4324
yjiL	ECK4325
yjiM	ECK4326
yjiN	ECK4327
yjiO	ECK4328
yjiP	ECK4329
yjiQ	ECK4330
yjiR	ECK4331
yjiS	ECK4332
yjiT	ECK4333
yjiV	ECK4334
yjiW	ECK4337
yjiX	ECK4343
yjiY	ECK4344
yjjA	ECK4350
yjjB	ECK4353
yjjG	ECK4365
yjjI	ECK4372
yjjJ	ECK4377
yjjK	ECK4383
yjjL	ECK4346
yjjM	ECK4347
yjjN	ECK4348
yjjP	ECK4354
yjjQ	ECK4355
yjjU	ECK4369
yjjV	ECK4370
yjjW	ECK4371
yjjX	ECK4386
yjjY	ECK4394
yjjZ	ECK4358
yjtD	ECK4395
ykfA	ECK0255
ykfB	ECK0252
ykfC	ECK0260
ykfF	ECK0251
ykfG	ECK0249
ykfH	ECK0248
ykfI	ECK0246
ykfJ	ECK0236
ykgA	ECK0300
ykgB	ECK0301
ykgC	ECK0303
ykgD	ECK0304
ykgE	ECK0305
ykgF	ECK0306
ykgG	ECK0307
ykgH	ECK0308
ykgI	ECK0302
ykgJ	ECK0287
ykgK	ECK0293
ykgL	ECK0294
ykgM	ECK0295
ykgN	ECK0266
ykiA	ECK0387
ylaB	ECK0451
ylaC	ECK0452
ylbA	ECK0508
ylbE	ECK0512
ylbF	ECK0513
ylbG	ECK0495
ylbH	ECK0493
ylcE	ECK0555
yliE	ECK0823
yliF	ECK0824
yliG	ECK0825
yliH	ECK0826
yliI	ECK0827
yliJ	ECK0828
yliL	ECK0805
ymbA	ECK0943
ymcD	ECK0978
ymcE	ECK0981
ymdA	ECK1030
ymdB	ECK1031
ymdC	ECK1032
ymdF	ECK0996
ymfA	ECK1108
ymfC	ECK1121
ymfD	ECK1123
ymfE	ECK1124
ymfH	ECK1128
ymfI	ECK1129
ymfJ	ECK1130
ymfK	ECK1131
ymfL	ECK1133
ymfM	ECK1134
ymfN	ECK1135
ymfO	ECK1137
ymfP	ECK1138
ymfQ	ECK1139
ymgA	ECK1152
ymgC	ECK1154
ymgD	ECK1158
ymgE	ECK1183
ymgF	ECK1156
ymgG	ECK1159
ymgH	ECK1160
ymjA	ECK1290
ymjC	ECK1323
ynaA	ECK1365
ynaE	ECK1370
ynaI	ECK1327
ynaJ	ECK1328
ynaK	ECK1363
ynbA	ECK1401
ynbB	ECK1402
ynbC	ECK1403
ynbD	ECK1404
ynbE	ECK1379
yncA	ECK1442
yncB	ECK1443
yncC	ECK1444
yncD	ECK1445
yncE	ECK1446
yncG	ECK1448
yncH	ECK1449
yncI	ECK1452
yncJ	ECK1430
yncK	ECK1425
yncN	ECK1431
yneE	ECK1513
yneF	ECK1515
yneG	ECK1516
yneH	ECK1517
yneJ	ECK1519
yneK	ECK1520
yneL	ECK1499
ynfA	ECK1577
ynfB	ECK1578
ynfC	ECK1580
ynfD	ECK1581
ynfE	ECK1582
ynfF	ECK1583
ynfG	ECK1584
ynfH	ECK1585
ynfK	ECK1588
ynfL	ECK1590
ynfM	ECK1591
ynfN	ECK1545
ynfO	ECK1542
ynhG	ECK1674
yniA	ECK1723
yniB	ECK1724
yniC	ECK1725
yniD	ECK1719
ynjA	ECK1751
ynjB	ECK1752
ynjC	ECK1753
ynjD	ECK1754
ynjE	ECK1755
ynjF	ECK1756
ynjH	ECK1758
ynjI	ECK1760
yoaA	ECK1806
yoaB	ECK1807
yoaC	ECK1808
yoaD	ECK1813
yoaE	ECK1814
yoaF	ECK1791
yoaG	ECK1794
yoaH	ECK1809
yoaI	ECK1786
yobA	ECK1842
yobB	ECK1844
yobD	ECK1818
yobF	ECK1822
yobG	ECK1824
yobH	ECK1825
yodA	ECK1969
yodB	ECK1970
yodC	ECK1955
yodD	ECK1951
yoeA	ECK1989
yoeB	ECK2011
yoeE	ECK1990
yoeF	ECK2000
yohC	ECK2128
yohD	ECK2129
yohF	ECK2130
yohGH	ECK2131
yohJ	ECK2134
yohK	ECK2135
yohL	ECK2098
yohN	ECK2100
yohO	ECK2120
yojI	ECK2203
ypaA	ECK2237
ypdA	ECK2376
ypdB	ECK2377
ypdC	ECK2378
ypdE	ECK2380
ypdF	ECK2381
ypdH	ECK2383
ypdI	ECK2372
ypdJ	ECK2358
ypeA	ECK2429
ypeB	ECK2405
ypeC	ECK2386
ypfG	ECK2461
ypfH	ECK2469
ypfI	ECK2470
ypfJ	ECK2471
ypfN	ECK2468
yphA	ECK2540
yphB	ECK2541
yphC	ECK2542
yphD	ECK2543
yphE	ECK2544
yphF	ECK2545
yphG	ECK2546
yphH	ECK2547
ypjA	ECK1161
ypjB	ECK2646
ypjC	ECK2647
ypjD	ECK2608
ypjF	ECK2643
ypjJ	ECK2641
ypjK	ECK2631
ypjL	ECK2635
ypjM	ECK2637
yqaA	ECK2684
yqaB	ECK2685
yqaC	ECK2651
yqaD	ECK2652
yqaE	ECK2660
yqcA	ECK2784
yqcC	ECK2786
yqcE	ECK2769
yqeA	ECK2870
yqeB	ECK2871
yqeC	ECK2872
yqeF	ECK2842
yqeG	ECK2843
yqeH	ECK2844
yqeI	ECK2845
