Gene	ECKnum
dmsB	ECK0886
dmsC	ECK0887
dmsD	ECK1586
dnaA	ECK3694
dnaB	ECK4044
dnaC	ECK4351
dnaE	ECK0183
dnaG	ECK3056
dnaJ	ECK0015
dnaK	ECK0014
dnaN	ECK3693
dnaQ	ECK0215
dnaT	ECK4352
dnaX	ECK0464
dos	ECK1483
dpiA	ECK0613
dpiB	ECK0612
dppA	ECK3531
dppB	ECK3530
dppC	ECK3529
dppD	ECK3528
dppF	ECK3527
dps	ECK0801
dsbA	ECK3852
dsbB	ECK1173
dsbC	ECK2888
dsbG	ECK0598
dsdA	ECK2362
dsdC	ECK2360
dsdX	ECK2361
dsrB	ECK1950
dtd	ECK3880
dusB	ECK3247
dusC	ECK2133
dut	ECK3630
dxr	ECK0172
dxs	ECK0414
eaeH	ECK0297
eamA	ECK1526
eamB	ECK2576
ebgA	ECK3066
ebgC	ECK3067
ebgR	ECK3065
ecnA	ECK4142
ecnB	ECK4143
eco	ECK2201
ecpD	ECK0139
eda	ECK1851
edd	ECK1852
efeB	ECK1009
efeO	ECK1008
efp	ECK4141
elaA	ECK2261
elaB	ECK2260
elaC	ECK2262
elaD	ECK2263
elbA	ECK1147
elbB	ECK3198
emrA	ECK2679
emrB	ECK2680
emrD	ECK3664
emrK	ECK2364
emrY	ECK2363
endA	ECK2940
eno	ECK2773
entA	ECK0589
entB	ECK0588
entC	ECK0586
entD	ECK0575
entE	ECK0587
entF	ECK0579
entS	ECK0584
envC	ECK3603
envR	ECK3251
envY	ECK0558
envZ	ECK3391
epd	ECK2923
eptB	ECK3533
era	ECK2564
erfK	ECK1985
essD	ECK0545
essQ	ECK1550
etk	ECK0972
etp	ECK0973
eutA	ECK2446
eutB	ECK2436
eutC	ECK2435
eutD	ECK2453
eutE	ECK2450
eutG	ECK2448
eutH	ECK2447
eutJ	ECK2449
eutK	ECK2433
eutL	ECK2434
eutM	ECK2452
eutP	ECK2456
eutQ	ECK2455
eutR	ECK2432
eutS	ECK2457
eutT	ECK2454
evgA	ECK2365
evgS	ECK2366
exbB	ECK2999
exbD	ECK2998
exo	ECK2793
exoX	ECK1845
exuR	ECK3085
exuT	ECK3084
fabA	ECK0945
fabB	ECK2317
fabD	ECK1078
fabF	ECK1081
fabG	ECK1079
fabH	ECK1077
fabI	ECK1283
fabZ	ECK0179
fadA	ECK3837
fadB	ECK3838
fadD	ECK1803
fadE	ECK0222
fadH	ECK3071
fadI	ECK2336
fadJ	ECK2335
